source_type,layer,x1,y1,z1,x2,y2,z2
LWPOLYLINE,S123-BEAM-GL,724206.4062500285,-131868.5299970583,0.0,733456.3927107677,-131868.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,724206.4062500285,-131868.5299970583,0.0,724525.5551861987,-131868.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,732916.0133480667,-126070.8625114911,0.0,733898.5246026625,-131417.5787769453,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732916.0133480667,-126070.8625114911,0.0,732965.521010552,-126386.1481515285,0.0
LWPOLYLINE,S123-BEAM-GL,725906.3941345314,-142368.5299970583,0.0,725906.3941345314,-132068.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,722956.3941345315,-142968.5299970575,0.0,714281.3927107957,-142968.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,722956.3941345315,-142968.5299970575,0.0,722637.2451983611,-142968.5299970575,0.0
LWPOLYLINE,S123-BEAM-GL,727856.3820190632,-153018.5299970567,0.0,723506.3927107967,-153018.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,727856.3820190632,-153018.5299970567,0.0,727537.233082893,-153018.5299970567,0.0
LWPOLYLINE,S123-BEAM-GL,724206.4062500285,-142968.5299970575,0.0,733456.3927107677,-142968.5299970575,0.0
LWPOLYLINE,STPM_RBEAM_SIG,724206.4062500285,-142968.5299970575,0.0,724525.5551861987,-142968.5299970575,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3941345603,-132787.6789332285,0.0,723506.3941345603,-132468.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,723506.3941345603,-131268.5299970583,0.0,723506.3941345603,-122068.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3941345603,-131268.5299970583,0.0,723506.3941345603,-130949.3810608881,0.0
LWPOLYLINE,S123-BEAM-GL,723506.3927107967,-121818.5299970583,0.0,727856.4001922942,-121818.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,727537.2512561237,-121818.5299970583,0.0,727856.4001922942,-121818.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,728956.4001922939,-121818.5303467103,0.0,732406.4001923229,-121818.535171908,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728956.4001922939,-121818.5303467103,0.0,729275.5491284637,-121818.5307930746,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732087.251256153,-121818.5347255438,0.0,732406.4001923229,-121818.535171908,0.0
LWPOLYLINE,S123-BEAM-GL,732906.3944867558,-117468.529997058,0.0,732906.3998401273,-121368.5299970576,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732906.3944867558,-117468.529997058,0.0,732906.394936367,-117787.6789332279,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732906.399390516,-121049.3810608877,0.0,732906.3998401273,-121368.5299970576,0.0
LWPOLYLINE,S123-BEAM-GL,733056.4001923227,-125368.5299970577,0.0,733056.4001923227,-122268.5410460626,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733056.4001923227,-125368.5299970577,0.0,733056.4001923227,-125049.3810608874,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733056.4001923227,-122587.6899822328,0.0,733056.4001923227,-122268.5410460626,0.0
LWPOLYLINE,S123-BEAM-GL,723506.3927107967,-142368.5299970582,0.0,723506.3941345603,-132468.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3927107967,-142368.5299970582,0.0,723506.3927107967,-142049.381060888,0.0
LWPOLYLINE,S123-BEAM-GL,723506.3927107967,-152768.5299970567,0.0,723506.3927107967,-143568.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3927107967,-143887.6789332285,0.0,723506.3927107967,-143568.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,729006.3927107967,-153018.5299970574,0.0,733856.3927107966,-153018.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,729006.3927107967,-153018.5299970574,0.0,729325.541646967,-153018.5299970574,0.0
LWPOLYLINE,S123-BEAM-GL,728656.3941346084,-157818.5299970582,0.0,733456.3927107677,-157818.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733137.2437745975,-157818.5299970582,0.0,733456.3927107677,-157818.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,734286.5609565163,-163718.5306235287,0.0,744126.2244650763,-163718.5306235287,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734286.5609565163,-163718.5306235287,0.0,734605.7098926825,-163718.5290124292,0.0
LWPOLYLINE,S123-BEAM-GL,733806.3927107677,-163718.5306235287,0.0,732006.3927107963,-163718.5213553396,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733806.3927107677,-163718.5306235287,0.0,733487.2437746016,-163718.5290124292,0.0
LWPOLYLINE,S123-BEAM-GL,728825.5508887778,-153374.6288903882,0.0,733637.2359565501,-157462.4311037265,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728825.5508887778,-153374.6288903882,0.0,729068.7761371228,-153581.2626776208,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733394.010708205,-157255.7973164939,0.0,733637.2359565501,-157462.4311037265,0.0
LWPOLYLINE,S123-BEAM-GL,723843.4427197546,-143464.8293392398,0.0,728169.354817307,-152522.2306548758,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723843.4427197546,-143464.8293392398,0.0,723980.9888861898,-143752.8173521112,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728031.8086508717,-152234.2426420044,0.0,728169.354817307,-152522.2306548758,0.0
LWPOLYLINE,S123-BEAM-GL,728406.3927107967,-157868.5299970574,0.0,728406.3927107967,-153568.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728406.3927107967,-153887.6789332276,0.0,728406.3927107967,-153568.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,734056.3927107677,-163818.5299970574,0.0,734056.3927107677,-158368.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734056.3927107677,-158687.6789332285,0.0,734056.3927107677,-158368.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,732106.3930145387,-158018.529997058,0.0,732106.401367441,-163518.521355386,0.0
LWPOLYLINE,S123-BEAM-GL,734606.3927003992,-157818.6367931727,0.0,743806.3927211363,-157820.4232009437,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734606.3927003992,-157818.6367931727,0.0,734925.5416305528,-157818.6987638388,0.0
LWPOLYLINE,STPM_RBEAM_SIG,743487.2437909826,-157820.3612302776,0.0,743806.3927211363,-157820.4232009437,0.0
LWPOLYLINE,S123-BEAM-GL,734056.3927107677,-157268.5299970582,0.0,734056.3927107677,-146368.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,734056.3927107677,-157268.5299970582,0.0,734056.3927107677,-156949.381060888,0.0
LWPOLYLINE,S123-BEAM-GL,718506.4018031368,-148318.5209047174,0.0,718506.4018031368,-143168.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718506.4018031368,-148318.5209047174,0.0,718506.4018031368,-147999.3719685471,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714281.3927107957,-142968.5299970574,0.0,714600.5416469662,-142968.5299970574,0.0
LWPOLYLINE,S123-BEAM-GL,714006.3927107966,-132143.5299970571,0.0,714006.3927107961,-142693.5299970576,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714006.3927107966,-132143.5299970571,0.0,714006.3927107966,-132462.6789332274,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714006.3927107961,-142693.5299970576,0.0,714006.3927107961,-142374.3810608874,0.0
LWPOLYLINE,S123-BEAM-GL,722956.3941345315,-131868.5299970574,0.0,714281.3927107957,-131868.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,722956.3941345315,-131868.5299970574,0.0,722637.2451983611,-131868.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,714281.3927107957,-131868.5299970573,0.0,714600.5416469662,-131868.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,718506.4018031368,-142768.5299970575,0.0,718506.4018031368,-132068.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,718506.4018031368,-126518.5390893974,0.0,718506.4018031368,-131668.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718506.4018031368,-126518.5390893974,0.0,718506.4018031368,-126837.6880255677,0.0
LWPOLYLINE,S123-BEAM-GL,718756.4018031366,-148518.5209047173,0.0,723256.3927107967,-148518.5209047173,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718756.4018031366,-148518.5209047173,0.0,719075.550739307,-148518.5209047173,0.0
LWPOLYLINE,S123-BEAM-GL,723843.4427197546,-131372.2306548749,0.0,728169.354817307,-122314.829339239,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723843.4427197546,-131372.2306548749,0.0,723980.9888861898,-131084.2426420036,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728031.8086508717,-122602.8173521103,0.0,728169.354817307,-122314.829339239,0.0
LWPOLYLINE,S123-BEAM-GL,728782.5666589256,-121417.2847874474,0.0,732530.2369358981,-117419.7752066691,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728782.5666589256,-121417.2847874474,0.0,729000.8458990001,-121184.4539114644,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732311.9576958236,-117652.6060826521,0.0,732530.2369358981,-117419.7752066691,0.0
LWPOLYLINE,S123-BEAM-GL,732906.4048262934,-116368.5299970583,0.0,732906.4048262934,-111118.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732906.4048262934,-116368.5299970583,0.0,732906.4048262934,-116049.381060888,0.0
LWPOLYLINE,S123-BEAM-GL,728406.3927107967,-116918.5299970592,0.0,732356.3927107968,-116918.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732037.2437746264,-116918.5299970582,0.0,732356.3927107968,-116918.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,728406.3927107968,-117168.5299970582,0.0,728406.3980885807,-121268.5299970587,0.0
LWPOLYLINE,STPM_RBEAM_SIG,728406.3976940259,-120949.3810608887,0.0,728406.3980885807,-121268.5299970587,0.0
LWPOLYLINE,S123-BEAM-GL,733456.4048262932,-116918.5299970582,0.0,744956.4048262932,-116918.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733456.4048262932,-116918.5299970582,0.0,733775.5537624635,-116918.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,737106.4048262934,-116668.5299970583,0.0,737106.4048262934,-111418.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,737106.4048262934,-116668.5299970583,0.0,737106.4048262934,-116349.3810608881,0.0
LWPOLYLINE,S123-BEAM-GL,741306.4048262934,-116668.5299970583,0.0,741306.4048262934,-111418.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,741306.4048262934,-116668.5299970583,0.0,741306.4048262934,-116349.3810608881,0.0
LWPOLYLINE,S123-BEAM-GL,737106.4048262934,-117168.5299970582,0.0,737106.4058677712,-121573.5479846154,0.0
LWPOLYLINE,STPM_RBEAM_SIG,737106.4048262934,-117168.5299970582,0.0,737106.4048262934,-117487.6789332284,0.0
LWPOLYLINE,S123-BEAM-GL,741306.4048262934,-117168.5299970582,0.0,741306.4058677711,-121573.5479846154,0.0
LWPOLYLINE,STPM_RBEAM_SIG,741306.4048262934,-117168.5299970582,0.0,741306.4048262934,-117487.6789332284,0.0
LWPOLYLINE,S123-BEAM-GL,733456.3927107968,-121818.5302382062,0.0,744956.3987685592,-121818.5352804111,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733456.3927107968,-121818.5302382062,0.0,733775.541646967,-121818.5303781378,0.0
LWPOLYLINE,S123-BEAM-GL,733456.3987685591,-125818.5355215603,0.0,744956.3987685592,-125818.5355215603,0.0
LWPOLYLINE,STPM_RBEAM_SIG,733456.3987685591,-125818.5355215603,0.0,733775.5477047294,-125818.5355215603,0.0
LWPOLYLINE,S123-BEAM-GL,733456.3927107677,-127768.5299970573,0.0,744956.3927107679,-127768.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,718756.3836184565,-126318.5209047173,0.0,723256.3927107967,-126318.5209047173,0.0
LWPOLYLINE,STPM_RBEAM_SIG,718756.3836184565,-126318.5209047173,0.0,719075.5325546269,-126318.5209047173,0.0
LWPOLYLINE,S123-BEAM-GL,733156.4048262934,-111118.5300095868,0.0,745156.3927107966,-111118.5306109992,0.0
LWPOLYLINE,S123-BEAM-GL,754206.3791715642,-131868.5299970583,0.0,744956.3927108248,-131868.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754206.3791715642,-131868.5299970583,0.0,753887.230235394,-131868.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,745496.7836505758,-126070.8647135065,0.0,744506.7917148122,-131458.2150205154,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745496.7836505758,-126070.8647135065,0.0,745447.2759880906,-126386.150353544,0.0
LWPOLYLINE,S123-BEAM-GL,752506.3912870613,-142368.5299970583,0.0,752506.3912870613,-132068.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,755456.3912870612,-142968.5299970575,0.0,764131.3927107969,-142968.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,755456.3912870612,-142968.5299970575,0.0,755775.5402232317,-142968.5299970575,0.0
LWPOLYLINE,S123-BEAM-GL,750556.4034025295,-153018.5299970567,0.0,754906.392710796,-153018.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750556.4034025295,-153018.5299970567,0.0,750875.5523386998,-153018.5299970567,0.0
LWPOLYLINE,S123-BEAM-GL,754206.3791715642,-142968.5299970575,0.0,744956.3927108248,-142968.5299970575,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754206.3791715642,-142968.5299970575,0.0,753887.230235394,-142968.5299970575,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754906.3912870325,-132787.6789332285,0.0,754906.3912870325,-132468.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,754906.3912870325,-131268.5299970583,0.0,754906.3912870325,-122068.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754906.3912870325,-131268.5299970583,0.0,754906.3912870325,-130949.3810608881,0.0
LWPOLYLINE,S123-BEAM-GL,754906.392710796,-121818.5299970583,0.0,750556.3852292986,-121818.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750875.534165469,-121818.5299970583,0.0,750556.3852292986,-121818.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,749456.3852292988,-121818.5303467103,0.0,746006.3852292697,-121818.535171908,0.0
LWPOLYLINE,STPM_RBEAM_SIG,749456.3852292988,-121818.5303467103,0.0,749137.236293129,-121818.5307930746,0.0
LWPOLYLINE,STPM_RBEAM_SIG,746325.5341654397,-121818.5347255438,0.0,746006.3852292697,-121818.535171908,0.0
LWPOLYLINE,S123-BEAM-GL,745506.3909348369,-117468.529997058,0.0,745506.3855814654,-121368.5299970576,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745506.3909348369,-117468.529997058,0.0,745506.3904852257,-117787.6789332279,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745506.3860310767,-121049.3810608877,0.0,745506.3855814654,-121368.5299970576,0.0
LWPOLYLINE,S123-BEAM-GL,745356.38522927,-125368.5299970577,0.0,745356.38522927,-122268.5410460626,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745356.38522927,-125368.5299970577,0.0,745356.38522927,-125049.3810608874,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745356.38522927,-122587.6899822328,0.0,745356.38522927,-122268.5410460626,0.0
LWPOLYLINE,S123-BEAM-GL,754906.392710796,-142368.5299970582,0.0,754906.3912870325,-132468.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754906.392710796,-142368.5299970582,0.0,754906.392710796,-142049.381060888,0.0
LWPOLYLINE,S123-BEAM-GL,754906.392710796,-152768.5299970567,0.0,754906.392710796,-143568.5299970583,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754906.392710796,-143887.6789332285,0.0,754906.392710796,-143568.5299970583,0.0
LWPOLYLINE,S123-BEAM-GL,749406.392710796,-153018.5299970574,0.0,744556.3927107682,-153018.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,749406.392710796,-153018.5299970574,0.0,749087.2437746258,-153018.5299970574,0.0
LWPOLYLINE,S123-BEAM-GL,749756.3912869842,-157818.5299970582,0.0,744956.392710825,-157818.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745275.5416469952,-157818.5299970582,0.0,744956.392710825,-157818.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744126.2244650763,-163718.5306235287,0.0,743807.0755289102,-163718.5290124292,0.0
LWPOLYLINE,S123-BEAM-GL,744606.392710825,-163718.5306235287,0.0,746406.3927107964,-163718.5213553396,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744606.392710825,-163718.5306235287,0.0,744925.541646991,-163718.5290124292,0.0
LWPOLYLINE,S123-BEAM-GL,749587.2345328148,-153374.6288903882,0.0,744775.5494650427,-157462.4311037265,0.0
LWPOLYLINE,STPM_RBEAM_SIG,749587.2345328148,-153374.6288903882,0.0,749344.0092844699,-153581.2626776208,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745018.7747133876,-157255.7973164939,0.0,744775.5494650427,-157462.4311037265,0.0
LWPOLYLINE,S123-BEAM-GL,754569.3427018381,-143464.8293392398,0.0,750264.9795036768,-152477.1125328953,0.0
LWPOLYLINE,STPM_RBEAM_SIG,754569.3427018381,-143464.8293392398,0.0,754431.7965354029,-143752.8173521112,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750402.7183238104,-152188.7211503246,0.0,750265.1721573751,-152476.7091631959,0.0
LWPOLYLINE,S123-BEAM-GL,750006.392710796,-157868.5299970574,0.0,750006.392710796,-153568.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750006.392710796,-153887.6789332276,0.0,750006.392710796,-153568.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,744356.3927108248,-163818.5299970574,0.0,744356.3927108248,-158368.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744356.3927108248,-158687.6789332285,0.0,744356.3927108248,-158368.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,746306.392407054,-158018.529997058,0.0,746306.3840541517,-163518.521355386,0.0
LWPOLYLINE,STPM_RBEAM_SIG,743806.3927211935,-157818.6367931727,0.0,743487.2437910398,-157818.6987638388,0.0
LWPOLYLINE,S123-BEAM-GL,744356.3927108248,-157268.5299970582,0.0,744356.3927108248,-146368.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744356.3927108248,-157268.5299970582,0.0,744356.3927108248,-156949.381060888,0.0
LWPOLYLINE,STPM_RBEAM_SIG,759706.383618456,-148518.5209047173,0.0,759387.2346822857,-148518.5209047173,0.0
LWPOLYLINE,S123-BEAM-GL,759906.3836184558,-142768.5299970575,0.0,759906.3836184558,-132068.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,759906.3836184558,-148318.5209047174,0.0,759906.3836184558,-143168.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,759906.3836184558,-148318.5209047174,0.0,759906.3836184558,-147999.3719685471,0.0
LWPOLYLINE,STPM_RBEAM_SIG,764131.3927107969,-142968.5299970574,0.0,763812.2437746265,-142968.5299970574,0.0
LWPOLYLINE,S123-BEAM-GL,764406.3927107962,-132143.5299970571,0.0,764406.3927107966,-142693.5299970576,0.0
LWPOLYLINE,STPM_RBEAM_SIG,764406.3927107962,-132143.5299970571,0.0,764406.3927107962,-132462.6789332274,0.0
LWPOLYLINE,STPM_RBEAM_SIG,764406.3927107966,-142693.5299970576,0.0,764406.3927107966,-142374.3810608874,0.0
LWPOLYLINE,S123-BEAM-GL,755456.3912870612,-131868.5299970574,0.0,764131.3927107969,-131868.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,755456.3912870612,-131868.5299970574,0.0,755775.5402232317,-131868.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,764131.3927107969,-131868.5299970573,0.0,763812.2437746265,-131868.5299970573,0.0
LWPOLYLINE,S123-BEAM-GL,759906.3836184558,-126518.5390893974,0.0,759906.3836184558,-131668.5299970573,0.0
LWPOLYLINE,STPM_RBEAM_SIG,759906.3836184558,-126518.5390893974,0.0,759906.3836184558,-126837.6880255677,0.0
LWPOLYLINE,S123-BEAM-GL,759706.383618456,-148518.5209047173,0.0,755156.392710796,-148518.5209047173,0.0
LWPOLYLINE,S123-BEAM-GL,750006.3927107682,-152418.5299970853,0.0,750006.3927107682,-143218.5299970575,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750006.3927107682,-152418.5299970853,0.0,750006.3927107682,-152099.3810609151,0.0
LWPOLYLINE,S123-BEAM-GL,754569.3427018381,-131372.2306548749,0.0,750243.4306042857,-122314.829339239,0.0
